Offer SKU;Product SKU;Category code;Category label;Brand;Product;Offer state;Price;Original price;Quantity;Alert threshold;Logistic Class;Activated;Available Start Date;Available End Date;Discount price;Discount Start Date;Discount End Date;Lead time to ship;EAN;Inactivity reason;Fulfillment center code
0005140007;M5061049608690;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Elio' Ashwood Leather Mandarin Collar Biker Jacket;New;149.99;279.00;1;;INIT;yes;;;149.99;;;;5061049608690;;DEFAULT
0005917902;M5056798463188;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Emilia' Stylish Real Leather Thigh Length Jacket;New;199.99;319.00;2;;INIT;yes;;;199.99;;;;5056798463188;;DEFAULT
0005205900;M5061049608355;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;'Five CB' Real Leather Cross Body Bag;New;24.99;79.99;76;;INIT;yes;;;24.99;;;;5061049608355;;DEFAULT
0005236705;M5056798404068;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;Real Leather Casual Jacket with Contrast Stripes;New;119.99;289.00;1;;INIT;yes;;;119.99;;;;5056798404068;;DEFAULT
0004977404;M5061049601080;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Chiara' Mandarin Collar Real Leather Biker Jacket;New;129.99;229.00;0;;INIT;no;;;129.99;;;;5061049601080;Out of stock;DEFAULT
0004996908;M5061049602711;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Filippo' Mens Leather Cross Zip Biker Jacket;New;129.99;319.00;1;;INIT;yes;;;129.99;;;;5061049602711;;DEFAULT
0003704606;M5056798423601;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Lillian' Real Leather Biker Jacket;New;149.99;229.00;3;;INIT;yes;;;149.99;;;;5056798423601;;DEFAULT
0005500808;M5056798452045;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Volare' Lightweight Real Leather Bomber Jacket;New;129.99;319.00;3;;INIT;yes;;;129.99;;;;5056798452045;;DEFAULT
0002080401;M5061049606405;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Angelica' Real Leather Two Button Blazer;New;139.99;189.00;1;;INIT;yes;;;139.99;;;;5061049606405;;DEFAULT
0005238209;M5056798406109;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Reefer' Classic Real Leather Jacket;New;210.99;319.00;1;;INIT;yes;;;210.99;;;;5056798406109;;DEFAULT
0003910203;M5056798466110;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Fenland England;Luxury Side Zip Sheepskin Pilot Jacket;New;358.99;649.00;1;;INIT;yes;;;358.99;;;;5056798466110;;DEFAULT
0004864901;M5061027912504;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Francesca' Collarless Real Leather Fashion Jacket;New;149.99;249.00;2;;INIT;yes;;;149.99;;;;5061027912504;;DEFAULT
0004936009;M5056798404754;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Bronx' Real Leather Biker Jacket;New;170.99;279.00;2;;INIT;yes;;;170.99;;;;5056798404754;;DEFAULT
0004351409;M5061049602124;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Vincenzo' Mens Leather Biker Jacket;New;166.99;229.00;1;;INIT;yes;;;166.99;;;;5061049602124;;DEFAULT
0005013004;M5061049602834;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Rocco' Mens Leather Dual Cross Zip Stylish Biker Jacket;New;169.49;289.00;0;;INIT;no;;;169.49;;;;5061049602834;Out of stock;DEFAULT
0005263910;M5056798410397;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;Real Leather Casual Collarless Jacket;New;189.99;339.00;1;;INIT;yes;;;189.99;;;;5056798410397;;DEFAULT
0004703902;M5056798465823;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Corsa' Real Leather Vintage Wash Racing Patch Details Jacket;New;84.99;159.00;0;;INIT;no;;;84.99;;;;5056798465823;Out of stock;DEFAULT
0004470800;M5056798439114;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Ashwood Leather;'Lou' Real Leather Wash Bag;New;34.99;80.00;12;;INIT;yes;;;34.99;;;;5056798439114;;DEFAULT
0003214000;M5056798435918;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;Real Leather Medium Handbag;New;52.99;129.00;0;;INIT;no;;;52.99;;;;5056798435918;Out of stock;DEFAULT
0005863507;M5056798459600;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Cooper' Real Leather Casual Jacket with Mandarin Collar;New;219.99;299.00;1;;INIT;yes;;;219.99;;;;5056798459600;;DEFAULT
0005183203;M5056798433747;women-footwear-womens_boots;Womens Boots;Fenland England;Real Sheepskin Booties;New;55.99;130.00;2;;INIT;yes;;;55.99;;;;5056798433747;;DEFAULT
0005487302;M5056798450782;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Strada Nera' Real Leather Mandarin Collar Zip-Up Casual Jacket;New;149.99;249.00;0;;INIT;no;;;149.99;;;;5056798450782;Out of stock;DEFAULT
0005380903;M5056798439039;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Lucia' Real Leather Fashion Single Breasted Blazer;New;159.99;229.00;2;;INIT;yes;;;159.99;;;;5056798439039;;DEFAULT
0005511902;M5056798453264;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Torino Classic' Real Leather Classic Bomber Jacket With Brando Collar;New;159.99;299.00;0;;INIT;no;;;159.99;;;;5056798453264;Out of stock;DEFAULT
0004196700;M5056798430951;accessories-luggage;Luggage;Fenland England;Oily Leather Large Weekend Holdall;New;149.99;249.99;3;;INIT;yes;;;149.99;;;;5056798430951;;DEFAULT
0004351407;M5061049602100;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Vincenzo' Mens Leather Biker Jacket;New;134.99;189.00;3;;INIT;yes;;;134.99;;;;5061049602100;;DEFAULT
0004928600;M5061027911354;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;'Classico Napoli' Real Leather Top Zip Crossbody Bag;New;49.99;110.00;0;;INIT;no;;;49.99;;;;5061027911354;Out of stock;DEFAULT
0005143003;M5061049606184;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;Casual Leather Jacket with Classic Collar;New;179.99;249.00;3;;INIT;yes;;;179.99;;;;5061049606184;;DEFAULT
0005190109;M5056798402163;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Eva' Leather Biker Style Jacket Women Coat;New;84.99;249.00;3;;INIT;yes;;;84.99;;;;5056798402163;;DEFAULT
0004142306;M5061049602186;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Alberto' Mens Leather Biker Jacket;New;154.99;249.00;0;;INIT;no;;;154.99;;;;5061049602186;Out of stock;DEFAULT
0004502309;M5056798452984;men-footwear-mens_shoes;Mens Shoes;Fenland England;'Duke' Classic Suede Sheepskin Slippers;New;39.99;79.99;0;;INIT;no;;;39.99;;;;5056798452984;Out of stock;DEFAULT
0005390207;M5056798440585;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'2420' Ladies Leather Aviator Jacket With Oversized Fur Collar;New;144.99;369.00;0;;INIT;no;;;144.99;;;;5056798440585;Out of stock;DEFAULT
0005933004;M5056798464604;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'8' Wool and Real Leather Baseball Jacket with Striped Collar;New;149.99;229.00;0;;INIT;no;;;149.99;;;;5056798464604;Out of stock;DEFAULT
0004791100;M5060999707422;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;GABICCI;'127' Real Leather Classic 8 Card Bilfold Wallet;New;23.99;44.99;0;;INIT;no;;;23.99;;;;5060999707422;Rejected product, Out of stock;DEFAULT
0005938710;M5056798464864;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Piuma Alpina' Real Leather Puffer Jacket With Faux Fur Collar;New;99.99;349.00;0;;INIT;no;;;99.99;;;;5056798464864;Out of stock;DEFAULT
0005496404;M5056798452670;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Lent' Classic Leather Biker Jacket with Buckled Collar;New;149.99;289.00;0;;INIT;no;;;149.99;;;;5056798452670;Out of stock;DEFAULT
0005952909;M5056798467025;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'AMJ-9' Real Leather Brando Collar Jacket;New;149.99;249.00;2;;INIT;yes;;;149.99;;;;5056798467025;;DEFAULT
0005205400;M5061049608263;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;'Cienna' Real Leather Crossbody Bag;New;24.99;59.99;97;;INIT;yes;;;24.99;;;;5061049608263;;DEFAULT
0005246604;M5056798406468;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Anne' Leather Jacket with Adjustable Waist String;New;149.99;239.00;2;;INIT;yes;;;149.99;;;;5056798406468;;DEFAULT
0005061703;M5056798454803;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Angel' Real Leather Three Button Blazer;New;119.99;199.00;0;;INIT;no;;;119.99;;;;5056798454803;Out of stock;DEFAULT
0004973805;M5056798417709;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Malmo' Two-In-One Detachable Hood Leather Jacket;New;179.99;249.00;0;;INIT;no;;;179.99;;;;5056798417709;Out of stock;DEFAULT
0005376104;M5056798438841;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Jan' Real Leather Biker Style Jacket With Faux Fur Lining;New;139.99;249.00;0;;INIT;no;;;139.99;;;;5056798438841;Out of stock;DEFAULT
0004862509;M5061027912405;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Francesca' Collarless Real Leather Fashion Jacket;New;149.99;309.00;2;;INIT;yes;;;149.99;;;;5061027912405;;DEFAULT
0004862506;M5061027912375;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Francesca' Collarless Real Leather Fashion Jacket;New;149.99;249.00;4;;INIT;yes;;;149.99;;;;5061027912375;;DEFAULT
0005257010;M5056798409995;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Emilia' Stylish Real Leather Thigh Length Jacket;New;199.99;399.00;1;;INIT;yes;;;199.99;;;;5056798409995;;DEFAULT
0004683506;M5056798425001;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Roxbike;'Nirma' Detachable Hood Leather Biker Jacket;New;84.99;169.00;5;;INIT;yes;;;84.99;;;;5056798425001;;DEFAULT
0004333905;M5056798426015;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Monomoi;'Maxson' Real Leather Stitch Detailing Hooded Jacket;New;99.99;159.00;0;;INIT;no;;;99.99;;;;5056798426015;Out of stock;DEFAULT
0005499305;M5056798451918;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Nova2' Real Leather Biker Jacket With Stitch Detailings;New;139.99;279.00;3;;INIT;yes;;;139.99;;;;5056798451918;;DEFAULT
0005077300;M5061049604760;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;'Di Tendenza' Leather Shoulder Bag;New;59.99;139.00;0;;INIT;no;;;59.99;;;;5061049604760;Out of stock;DEFAULT
0005213903;M5056798404921;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Corina' Collarless Casual Leather Jacket;New;129.99;199.00;10;;INIT;yes;;;129.99;;;;5056798404921;;DEFAULT
0004860102;M5061027915857;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Lucia' Real Leather Fashion Single Breasted Blazer;New;159.99;229.00;3;;INIT;yes;;;159.99;;;;5061027915857;;DEFAULT
0002911004;M5056798401487;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Brooklyn' Short Leather Biker Jacket;New;84.99;199.99;0;;INIT;no;;;84.99;;;;5056798401487;Out of stock;DEFAULT
0004857708;M5061027915734;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Lucia' Real Leather Fashion Single Breasted Blazer;New;159.99;269.00;3;;INIT;yes;;;159.99;;;;5061027915734;;DEFAULT
0004977403;M5061049601073;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Chiara' Mandarin Collar Real Leather Biker Jacket;New;129.99;229.00;1;;INIT;yes;;;129.99;;;;5061049601073;;DEFAULT
0005291600;M5056798414715;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Ashwood Leather;Leather Crossbody Sling Bag;New;46.99;115.00;8;;INIT;yes;;;46.99;;;;5056798414715;;DEFAULT
0004317300;M5061042999887;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;'Adelaide' Leather Shoulder Bag;New;52.49;89.95;10;;INIT;yes;;;52.49;;;;5061042999887;;DEFAULT
0005513403;M5056798453073;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Torino Classic' Real Leather Classic Bomber Jacket With Brando Collar;New;159.99;299.00;1;;INIT;yes;;;159.99;;;;5056798453073;;DEFAULT
0005004103;M5061049600892;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Alessia' Mandarin Collar Leather Biker Jacket Women Coat;New;114.99;239.00;0;;INIT;no;;;114.99;;;;5061049600892;Out of stock;DEFAULT
0004622909;M5056798420754;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Monomoi;'Sofia' Detachable Hood Three Quarter Leather Jacket;New;99.99;289.00;0;;INIT;no;;;99.99;;;;5056798420754;Out of stock;DEFAULT
0004181701;M5056798412995;women-footwear-womens_flats;Womens Flats;Fenland England;Classic Suede Sheepskin Slippers;New;38.49;79.99;0;;INIT;no;;;38.49;;;;5056798412995;Out of stock;DEFAULT
0004270205;M5060999708467;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Aliona' Real Leather Fashion Jacket Women Coat;New;129.99;229.00;1;;INIT;yes;;;129.99;;;;5060999708467;;DEFAULT
0005331707;M5056798419642;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;Real Leather Mandarin Collar Biker Jacket;New;138.99;239.00;5;;INIT;yes;;;138.99;;;;5056798419642;;DEFAULT
0005903006;M5056798462808;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Lent' Classic Leather Biker Jacket with Buckled Collar;New;149.99;289.00;1;;INIT;yes;;;149.99;;;;5056798462808;;DEFAULT
0000458705;M5056798461146;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Brienne' Real Leather Duffle Coat;New;109.99;289.00;1;;INIT;yes;;;109.99;;;;5056798461146;;DEFAULT
0004470300;M5056798431163;home-soft_furnishings;Soft Furnishings;Fenland England;Real Sheepskin Pouffe Stool;New;124.99;189.99;0;;INIT;no;;;124.99;;;;5056798431163;Out of stock;DEFAULT
0004937511;M5056798404808;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Bronx' Real Leather Biker Jacket;New;202.99;319.00;2;;INIT;yes;;;202.99;;;;5056798404808;;DEFAULT
0002164003;M5056798437615;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Brampton London;'Ballina' Real Leather Short Blazer Jacket;New;84.99;189.00;0;;INIT;no;;;84.99;;;;5056798437615;Out of stock;DEFAULT
0005895508;M5056798462518;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;Real Leather Jacket with Mandarin Collar and Straight Zip;New;149.99;269.00;1;;INIT;yes;;;149.99;;;;5056798462518;;DEFAULT
0005227711;M5056798403528;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Enzo' Leather Utility Vest with Multiple Pockets;New;190.49;269.00;0;;INIT;no;;;190.49;;;;5056798403528;Out of stock;DEFAULT
0005520308;M5056798453905;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Giovanni' Exquisite Real Leather Bomber Jacket;New;159.99;319.00;1;;INIT;yes;;;159.99;;;;5056798453905;;DEFAULT
0001910206;M5056798439268;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Kore' Real Leather Biker Jacket;New;129.99;179.00;3;;INIT;yes;;;129.99;;;;5056798439268;;DEFAULT
0004976202;M5061049601165;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Chiara' Mandarin Collar Real Leather Biker Jacket;New;129.99;229.00;3;;INIT;yes;;;129.99;;;;5061049601165;;DEFAULT
0004996909;M5061049602728;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Filippo' Mens Leather Cross Zip Biker Jacket;New;129.99;339.00;1;;INIT;yes;;;129.99;;;;5061049602728;;DEFAULT
0004930500;M5061027911637;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Ashwood Leather;'Amore di Cuoio' Real Leather Small Crossbody Bag;New;39.99;110.00;0;;INIT;no;;;39.99;;;;5061027911637;Out of stock;DEFAULT
0000765307;M5056798416245;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Muna' Toscana Long Haired Shearling Jacket With Large Hood;New;629.99;959.00;0;;INIT;no;;;629.99;;;;5056798416245;Out of stock;DEFAULT
0004973810;M5056798417754;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Ashwood Leather;'Malmo' Two-In-One Detachable Hood Leather Jacket;New;179.99;329.00;0;;INIT;no;;;179.99;;;;5056798417754;Out of stock;DEFAULT
0005837004;M5056798458726;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Ashwood Leather;'Boxer' Real Leather Biker Jacket with Red & White Stripe Details;New;149.99;249.00;0;;INIT;no;;;149.99;;;;5056798458726;Out of stock;DEFAULT
0005349200;M5056798408578;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Brampton London;'Crossflow' Real Leather Crossbody Bag;New;49.99;139.00;99;;INIT;yes;;;49.99;;;;5056798408578;;DEFAULT
